Make,Colour,Odometer (KM),Doors,Price
BMW,Blue,199261,4,"$27,665.18"
Toyota,Green,83289,3,"$6,478.98"
Honda,Blue,66463,4,"$8,004.80"
Ford,White,159512,5,"$14,978.91"
Toyota,Blue,105266,4,"$7,841.36"
Ford,CanyonRidge,178250,4,"$24,022.84"
Ford,White,239451,5,"$11,480.60"
Honda,Blue,79427,3,"$5,607.11"
Nissan,White,42167,5,"$9,561.39"
Nissan,Red,109450,4,"$3,406.86"
BMW,Black,245695,5,"$27,946.18"
Toyota,Green,144944,5,"$6,751.16"
Toyota,Black,182881,3,"$4,332.22"
BMW,Green,84393,4,"$24,351.87"
Toyota,White,173528,3,"$5,135.64"
BMW,White,243483,3,"$15,804.87"
BMW,Red,115898,3,"$19,095.37"
Toyota,Black,120914,3,"$5,014.61"
BMW,Red,186507,4,"$27,509.68"
Nissan,White,163165,3,"$8,171.90"
Toyota,Red,193842,5,"$6,047.78"
Toyota,Blue,24875,4,"$7,261.50"
Honda,CanyonRidge,106261,4,"$8,652.26"
Toyota,CanyonRidge,211196,5,"$5,588.91"
BMW,Red,101975,4,"$22,362.26"
Ford,White,190785,5,"$13,493.18"
Ford,White,203597,3,"$6,666.77"
Toyota,Black,88406,3,"$4,365.35"
Toyota,White,18637,4,"$6,344.56"
Ford,Black,147928,3,"$23,185.40"
BMW,Black,86583,5,"$28,892.00"
Toyota,White,164173,3,"$7,555.19"
Nissan,Blue,216101,3,"$4,074.46"
Toyota,Black,150444,4,"$6,519.53"
BMW,Blue,40099,4,"$29,690.68"
Nissan,Green,236503,3,"$5,302.28"
Nissan,Red,48802,5,"$6,501.62"
Toyota,Green,50776,4,"$5,461.99"
Honda,CanyonRidge,70032,4,"$5,900.81"
Toyota,Red,118463,5,"$6,626.30"
Honda,Blue,238650,4,"$6,463.15"
BMW,Red,135073,5,"$16,401.36"
BMW,Blue,30029,3,"$19,092.50"
BMW,Black,35257,4,"$24,705.91"
Nissan,Black,207537,3,"$9,694.18"
BMW,Green,97701,4,"$16,900.44"
Nissan,Black,32043,3,"$6,492.00"
BMW,Black,153201,4,"$27,463.20"
Toyota,Blue,98723,5,"$4,569.28"
BMW,Green,119672,4,"$24,041.61"
Nissan,Red,168628,5,"$9,892.05"
BMW,CanyonRidge,195410,4,"$20,726.77"
BMW,Green,193911,3,"$16,529.80"
BMW,White,41126,5,"$19,639.93"
Ford,White,161247,3,"$16,169.02"
BMW,Black,17975,3,"$28,806.86"
Ford,Black,193805,4,"$23,781.28"
Nissan,Green,36276,3,"$3,454.69"
Nissan,Black,206550,5,"$8,083.97"
Toyota,Green,211154,3,"$5,863.81"
Nissan,Green,123219,4,"$3,756.93"
Ford,White,81631,4,"$11,939.35"
Nissan,Black,26848,5,"$5,426.11"
Honda,Red,151074,3,"$6,403.64"
Nissan,White,194450,5,"$7,482.29"
Nissan,Black,99652,4,"$4,226.89"
BMW,CanyonRidge,223323,4,"$19,183.06"
BMW,Green,70341,3,"$23,982.42"
Ford,Red,76562,3,"$6,725.94"
Nissan,Green,228428,4,"$4,649.42"
Nissan,Blue,122679,5,"$7,132.09"
Honda,CanyonRidge,150687,5,"$6,056.83"
Ford,Black,101717,5,"$24,769.74"
Toyota,CanyonRidge,38477,4,"$6,773.66"
Ford,CanyonRidge,61332,4,"$6,358.36"
Honda,CanyonRidge,22512,4,"$7,274.86"
Toyota,CanyonRidge,99149,5,"$4,209.20"
Toyota,Black,242911,5,"$4,979.19"
Toyota,Red,20574,3,"$4,801.51"
Nissan,CanyonRidge,229073,3,"$5,513.10"
Honda,Black,100763,5,"$5,455.17"
Toyota,Red,144192,5,"$7,956.58"
BMW,Black,109881,5,"$22,871.84"
Ford,Green,137102,5,"$20,089.25"
Toyota,Black,37088,3,"$5,786.18"
Nissan,Green,18937,4,"$4,044.07"
Honda,Black,188799,3,"$5,054.91"
Toyota,Green,224402,3,"$7,143.02"
Nissan,Green,132281,5,"$7,558.60"
Ford,Black,232072,3,"$17,563.25"
Toyota,Black,176570,3,"$4,020.84"
Ford,CanyonRidge,18745,4,"$15,756.50"
Honda,Black,26556,4,"$6,296.24"
Honda,Red,120393,5,"$6,519.18"
Nissan,Black,71558,3,"$5,518.03"
Ford,Black,10517,5,"$21,356.12"
BMW,Blue,156486,4,"$25,818.02"
Honda,Black,243882,4,"$6,885.81"
Honda,Blue,236784,4,"$5,359.01"
Nissan,Blue,142176,4,"$6,879.26"
Honda,Green,178647,5,"$7,473.05"
Nissan,CanyonRidge,68825,4,"$9,814.01"
Toyota,White,128864,3,"$7,431.43"
Ford,Blue,181100,5,"$13,930.28"
Nissan,Red,78567,4,"$6,664.05"
Ford,CanyonRidge,49300,4,"$10,028.27"
Honda,Blue,119320,4,"$6,399.85"
Nissan,Red,235744,4,"$6,922.21"
BMW,Black,17397,3,"$15,092.77"
Toyota,Green,244063,5,"$6,696.16"
BMW,CanyonRidge,102385,4,"$27,606.64"
Honda,Green,249227,5,"$7,489.01"
BMW,Black,218570,4,"$22,625.00"
BMW,CanyonRidge,235777,5,"$27,465.73"
Nissan,White,61373,5,"$5,783.18"
BMW,CanyonRidge,109259,5,"$24,135.35"
BMW,Green,239486,5,"$26,740.94"
BMW,Red,60431,3,"$20,242.47"
BMW,Black,193097,3,"$27,224.95"
Honda,CanyonRidge,159366,3,"$5,160.85"
Toyota,CanyonRidge,153085,3,"$4,966.90"
Honda,White,198722,3,"$5,765.01"
BMW,Red,217991,4,"$19,961.07"
Honda,CanyonRidge,38642,5,"$5,273.15"
BMW,Blue,148642,4,"$24,522.32"
Toyota,Black,13341,4,"$6,999.98"
Toyota,CanyonRidge,51055,3,"$5,660.21"
BMW,Black,146443,5,"$21,917.08"
Honda,Red,61880,4,"$6,175.16"
BMW,Green,149834,3,"$26,051.90"
Ford,Black,161671,4,"$23,295.05"
Honda,Green,30736,5,"$7,674.63"
Toyota,Green,217094,4,"$6,702.37"
Honda,Red,88219,4,"$6,261.20"
Nissan,CanyonRidge,127202,4,"$8,073.95"
Toyota,Red,228142,4,"$7,720.85"
Ford,Green,112152,5,"$12,012.12"
Honda,White,174028,3,"$5,417.77"
BMW,White,77867,4,"$22,172.01"
BMW,Blue,196080,3,"$20,043.24"
Toyota,Black,124325,3,"$4,767.74"
Ford,Green,96071,3,"$21,312.19"
Nissan,CanyonRidge,59435,5,"$5,211.07"
Honda,Red,206951,5,"$6,505.63"
Toyota,Green,147443,5,"$4,834.96"
Nissan,Green,173553,4,"$6,925.01"
BMW,Red,73150,3,"$23,750.50"
Nissan,Black,236520,5,"$5,894.06"
Toyota,CanyonRidge,126863,4,"$4,145.50"
BMW,White,25130,5,"$15,029.16"
Toyota,Green,218889,5,"$7,689.01"
BMW,Green,163394,3,"$22,259.03"
Ford,CanyonRidge,150677,5,"$12,308.91"
BMW,Red,135260,4,"$20,159.35"
Ford,CanyonRidge,228149,3,"$20,828.22"
BMW,Blue,172663,5,"$26,955.93"
Nissan,Green,148765,3,"$7,665.68"
Toyota,CanyonRidge,249245,5,"$5,172.01"
BMW,Red,56524,5,"$22,301.47"
Ford,Black,155196,3,"$11,801.72"
Nissan,CanyonRidge,197464,4,"$3,924.00"
Toyota,Black,106956,5,"$6,000.69"
Toyota,Red,234543,3,"$6,803.87"
Nissan,White,34030,3,"$7,078.77"
Toyota,Blue,174718,4,"$7,241.10"
Toyota,Green,238129,3,"$4,463.37"
BMW,Red,175166,4,"$24,868.83"
Ford,Green,39973,3,"$13,785.78"
Nissan,Black,49273,4,"$4,296.74"
Ford,Green,215460,4,"$24,148.19"
Toyota,Green,247160,3,"$7,026.75"
BMW,Green,191706,4,"$28,018.69"
Ford,White,107164,3,"$7,398.91"
Nissan,White,59007,5,"$8,335.99"
Ford,Black,59031,3,"$12,813.94"
Honda,Red,243022,3,"$8,492.86"
Ford,Red,243319,4,"$13,180.57"
Nissan,Blue,49640,4,"$3,705.37"
Honda,CanyonRidge,115239,3,"$8,074.92"
Nissan,Black,240982,4,"$3,024.18"
Toyota,Green,186396,3,"$7,638.06"
BMW,Black,95858,3,"$19,156.27"
BMW,Black,65672,5,"$25,221.95"
Toyota,White,200333,4,"$7,443.41"
Toyota,Green,129715,5,"$4,033.09"
BMW,Green,19790,3,"$16,045.17"
BMW,White,60218,3,"$29,589.54"
Nissan,White,120503,5,"$8,303.49"
BMW,CanyonRidge,224817,4,"$22,889.68"
Toyota,CanyonRidge,189737,5,"$7,850.50"
Ford,Blue,147395,5,"$9,784.03"
Honda,CanyonRidge,64742,3,"$8,774.60"
Nissan,Black,68145,5,"$7,484.41"
Nissan,Red,15994,4,"$5,174.42"
Toyota,Red,88942,5,"$6,302.69"
Honda,Blue,172481,4,"$6,280.22"
Ford,White,150035,3,"$7,798.25"
BMW,Red,116087,3,"$19,615.03"
Honda,Red,43413,5,"$8,864.95"
BMW,Blue,54750,5,"$23,316.39"
Toyota,Green,243056,4,"$6,031.17"
Nissan,Blue,35043,3,"$5,334.12"
Toyota,White,134789,3,"$6,421.37"
Nissan,White,29937,4,"$8,846.42"
Nissan,Black,120430,3,"$4,546.89"
BMW,White,229563,5,"$19,508.82"
BMW,White,94851,5,"$15,971.67"
Nissan,Blue,39584,4,"$5,151.92"
Honda,Green,121972,4,"$6,243.42"
Toyota,CanyonRidge,99997,4,"$6,465.81"
Ford,Red,204481,5,"$22,273.23"
Nissan,Black,215300,4,"$8,755.41"
Nissan,CanyonRidge,195383,4,"$6,747.32"
Ford,CanyonRidge,135185,3,"$24,689.20"
Nissan,Green,217210,5,"$3,091.95"
Ford,CanyonRidge,74870,4,"$12,111.80"
Toyota,Blue,43224,5,"$4,564.93"
BMW,White,45445,3,"$16,669.47"
Ford,CanyonRidge,171179,4,"$17,518.86"
Toyota,CanyonRidge,206905,4,"$7,406.85"
BMW,Blue,137184,5,"$18,986.82"
Nissan,CanyonRidge,182267,4,"$6,985.44"
Toyota,CanyonRidge,32927,5,"$5,357.85"
Honda,Green,147360,5,"$7,168.18"
Ford,Red,84998,5,"$22,723.43"
Honda,Green,138028,5,"$5,477.52"
Toyota,CanyonRidge,160672,5,"$4,100.43"
BMW,Blue,26884,3,"$20,500.52"
Toyota,Blue,194852,4,"$4,649.29"
Ford,Black,86111,3,"$5,642.66"
Nissan,Green,204904,3,"$9,381.87"
Nissan,Green,98742,3,"$4,774.43"
BMW,Green,69607,3,"$19,647.01"
Ford,CanyonRidge,134309,5,"$24,065.17"
BMW,Black,204957,5,"$28,419.72"
Toyota,CanyonRidge,220093,3,"$7,608.78"
Toyota,Black,111564,3,"$7,819.52"
Toyota,White,194256,4,"$7,008.95"
BMW,Green,102451,5,"$23,158.70"
Toyota,Black,160536,3,"$4,854.38"
BMW,Black,196558,5,"$20,867.45"
Toyota,White,140098,3,"$7,515.78"
BMW,Black,133759,4,"$19,252.00"
Honda,Black,243355,5,"$6,164.16"
Ford,White,47027,4,"$16,686.20"
BMW,Blue,36300,4,"$19,868.50"
Ford,Black,167420,3,"$20,727.59"
Nissan,Blue,93806,4,"$3,403.50"
Toyota,Red,44602,4,"$5,529.42"
Honda,White,53020,5,"$6,091.31"
Ford,CanyonRidge,104986,4,"$18,381.64"
Toyota,CanyonRidge,184328,5,"$4,107.25"
BMW,Red,204958,5,"$28,378.40"
Honda,CanyonRidge,95578,5,"$7,473.25"
Honda,Blue,117427,5,"$8,626.85"
BMW,Blue,28706,4,"$23,030.65"
Ford,White,120407,4,"$9,609.76"
Toyota,CanyonRidge,51918,4,"$7,220.31"
Ford,Green,104781,5,"$5,618.31"
Nissan,Red,217061,3,"$9,890.17"
Nissan,CanyonRidge,166913,3,"$5,163.72"
Toyota,White,84787,3,"$6,337.15"
Ford,Green,248039,3,"$12,974.58"
BMW,Green,73156,3,"$20,247.57"
Honda,White,46503,4,"$8,548.77"
BMW,Blue,229742,3,"$26,828.13"
Toyota,CanyonRidge,173702,4,"$7,960.11"
Honda,Red,46617,5,"$6,802.59"
Toyota,Green,170334,5,"$6,164.90"
Nissan,Red,80057,4,"$9,394.55"
BMW,Green,53163,4,"$28,765.65"
Ford,Black,245056,5,"$11,964.52"
Ford,Blue,85317,4,"$18,475.38"
Toyota,Green,156080,5,"$4,306.58"
Honda,Black,111564,3,"$8,329.07"
Toyota,Red,122287,5,"$5,721.65"
Honda,White,16846,3,"$8,427.23"
BMW,Green,249892,5,"$20,815.73"
Nissan,CanyonRidge,245057,5,"$3,201.81"
Toyota,Blue,193328,5,"$4,705.64"
BMW,Black,39014,5,"$23,569.33"
Toyota,White,53581,5,"$7,335.13"
Toyota,CanyonRidge,61681,4,"$7,127.85"
BMW,Green,30033,3,"$17,882.42"
Toyota,CanyonRidge,76924,3,"$7,867.85"
Honda,Green,119628,3,"$6,851.76"
Honda,Blue,169726,5,"$8,923.81"
Nissan,Black,141404,4,"$4,777.10"
BMW,Red,199208,4,"$27,658.63"
Ford,White,106379,5,"$9,684.54"
BMW,CanyonRidge,52807,3,"$26,482.75"
Ford,White,34386,5,"$5,888.35"
Toyota,Black,94150,3,"$6,832.85"
Honda,White,71902,3,"$5,699.65"
BMW,Green,99984,5,"$29,958.72"
Ford,CanyonRidge,27126,4,"$16,817.88"
Honda,Green,93526,3,"$7,156.57"
BMW,Green,164441,4,"$27,233.40"
BMW,Blue,241159,4,"$21,823.06"
Toyota,CanyonRidge,150306,5,"$6,865.51"
Honda,Black,109667,3,"$7,526.94"
Ford,Black,31538,4,"$10,480.33"
Ford,Black,131873,5,"$11,970.45"
Nissan,Blue,173164,4,"$4,540.88"
Toyota,White,165212,3,"$7,903.67"
BMW,Blue,10085,4,"$19,465.26"
BMW,Green,215953,4,"$24,482.46"
Honda,Green,32742,5,"$7,998.90"
Toyota,Green,185785,3,"$7,939.21"
Ford,Black,69500,3,"$21,046.65"
Nissan,CanyonRidge,69024,5,"$7,952.31"
Nissan,White,124084,3,"$5,886.88"
Nissan,White,73380,5,"$7,076.03"
Toyota,Blue,48516,4,"$4,795.21"
Toyota,Green,217313,4,"$6,560.75"
Ford,CanyonRidge,98316,5,"$4,907.59"
Ford,White,248539,3,"$8,355.62"
Ford,Red,171211,5,"$9,803.92"
Nissan,Green,143029,4,"$3,159.51"
Nissan,White,191992,4,"$9,131.66"
BMW,Blue,173414,5,"$21,244.21"
Ford,Black,141061,5,"$11,785.59"
Ford,CanyonRidge,131836,5,"$6,019.57"
Toyota,CanyonRidge,109924,5,"$5,136.65"
Toyota,Blue,10643,3,"$6,360.05"
Honda,Blue,103117,3,"$6,202.27"
BMW,Red,185700,5,"$25,360.59"
Toyota,Blue,198129,4,"$7,726.01"
Honda,White,181631,5,"$5,689.55"
BMW,Red,242807,3,"$22,463.43"
Nissan,Blue,76229,4,"$8,764.07"
Honda,Black,193809,4,"$5,211.02"
BMW,Green,15202,3,"$23,878.39"
Toyota,Green,134473,3,"$5,101.76"
Nissan,White,24589,5,"$3,319.21"
Honda,Black,227224,4,"$8,969.29"
BMW,CanyonRidge,17623,3,"$20,140.00"
Nissan,Green,95205,4,"$8,987.46"
Ford,Red,91081,5,"$14,356.60"
Toyota,Black,106224,4,"$4,344.70"
Toyota,Red,205500,5,"$7,219.51"
BMW,Green,127110,4,"$22,420.66"
Toyota,Red,126952,3,"$6,455.56"
BMW,Black,184564,4,"$21,895.81"
Ford,White,123380,3,"$18,641.06"
Honda,Blue,154787,4,"$5,997.94"
Toyota,CanyonRidge,218742,5,"$5,322.81"
Nissan,Red,246366,4,"$7,461.52"
Ford,Blue,152198,3,"$11,827.51"
Toyota,Black,130207,3,"$4,003.99"
Ford,Green,182295,3,"$23,618.50"
BMW,CanyonRidge,198974,3,"$17,929.74"
BMW,Green,91675,5,"$22,332.67"
Nissan,Black,81243,5,"$4,162.68"
Nissan,White,125223,4,"$9,979.40"
Ford,White,131546,4,"$23,701.42"
Nissan,Blue,235676,5,"$4,768.67"
Ford,Black,80566,5,"$16,805.88"
Honda,CanyonRidge,243202,3,"$7,374.27"
Toyota,White,104722,5,"$6,667.98"
Toyota,Green,113449,5,"$5,710.47"
Toyota,Green,114250,4,"$4,654.78"
BMW,White,154572,5,"$23,788.75"
Ford,CanyonRidge,205520,4,"$18,574.18"
BMW,CanyonRidge,74452,4,"$23,459.59"
BMW,Blue,91753,4,"$28,458.12"
BMW,Black,49854,4,"$24,023.22"
Toyota,CanyonRidge,124146,4,"$6,392.98"
Toyota,Green,226809,5,"$6,172.17"
BMW,White,94761,5,"$24,013.08"
BMW,Blue,26267,5,"$17,438.49"
Nissan,Blue,230263,4,"$3,754.01"
Ford,White,162528,3,"$11,878.72"
Honda,Green,204482,5,"$5,024.73"
Nissan,White,241438,3,"$6,511.04"
BMW,CanyonRidge,114136,5,"$20,998.05"
Ford,White,125799,4,"$4,017.39"
Ford,Black,61175,4,"$9,777.39"
Ford,Red,75054,4,"$7,891.16"
Honda,Green,24796,3,"$6,535.00"
Ford,Blue,148962,4,"$9,722.97"
Nissan,Red,11765,3,"$4,844.85"
Honda,CanyonRidge,44281,4,"$6,802.09"
Toyota,Black,207329,4,"$6,081.90"
Ford,Green,92387,5,"$15,239.31"
BMW,Black,108431,3,"$26,299.09"
Nissan,Blue,59861,5,"$5,760.39"
BMW,CanyonRidge,184063,4,"$16,866.63"
Nissan,CanyonRidge,174764,5,"$5,519.98"
Nissan,Red,199172,4,"$6,103.96"
Nissan,Red,233267,3,"$5,585.84"
Toyota,White,220166,4,"$6,512.56"
Nissan,CanyonRidge,229836,5,"$6,112.12"
Toyota,Green,244143,5,"$6,112.08"
Ford,Green,190687,5,"$7,245.81"
Nissan,Black,46137,3,"$8,975.98"
